target_name,s_ra,s_dec,dataset,MJD-OBS,em,coord_block,temp_block,cluster
2MASS-03432714-3801082,55.86321307811616,-38.01892750629439,JWST,60291.26889126157,2121.5,"(558, -381)",8613,0
UNKNOWN,189.30036067419607,62.23085618475911,JWST,60683.74113876701,900.0,"(1893, 622)",8669,0
UNKNOWN,189.29833482085112,62.13899939826511,JWST,60715.38003327934,1990.5,"(1892, 621)",8673,0
UNKNOWN,53.43701172168691,-36.18778378551711,JWST,60652.81132574943,4433.0,"(534, -362)",8664,0
K5-2MASS-16235565+2823024,245.9818276021797,28.38403757991456,JWST,59710.84219087355,2800.0,"(2459, 283)",8530,0
M101-H27+H67,210.57973916666663,54.340500000000006,JWST,60472.90939823496,7700.0,"(2105, 543)",8638,0
GOODS-N-CENTER,189.1913720833333,62.246027777777776,JWST,59987.31009254682,2096.5,"(1891, 622)",8569,0
UNKNOWN,203.25720871885875,62.87595901068258,JWST,60714.467061767646,4433.0,"(2032, 628)",8673,0
WD1657+343,254.71308365496165,34.31460999513121,JWST,59721.10070103663,1550.0,"(2547, 343)",8531,0
A370,39.97931958333333,-1.6007194444444508,JWST,60297.36275179856,2992.0,"(399, -17)",8613,0
REF-HR-2562--BCKGR,100.94166666666668,-61.23194444444442,JWST,60013.83851616018,10650.0,"(1009, -613)",8573,0
HUDF-DEEP-F160W,53.16083625,-27.783286111111124,JWST,59976.57731762604,1500.0,"(531, -278)",8568,0
WIDE2031,34.446039166666665,-5.24095833333331,JWST,60175.85258683264,2950.0,"(344, -53)",8596,0
2148+4003,327.07455880346345,40.06949916397234,JWST,60207.21639416575,25500.0,"(3270, 400)",8601,0
WHL0137-MSA,24.34723333333333,-8.444561111111113,JWST,59939.561798597686,2950.0,"(243, -85)",8562,0
UDS-2-Tile-6-Copy,34.35794666666666,-5.290783333333309,JWST,60165.07271645949,900.0,"(343, -53)",8595,0
HD-163296,269.08864618741563,-21.95633363499299,JWST,60171.07134159722,2096.5,"(2690, -220)",8595,0
J0608+4229,92.17262666666667,42.49361388888889,JWST,60002.81738308519,5600.0,"(921, 424)",8571,0
ceers72_egs31322_v5,214.8881275,52.87479166666667,JWST,60387.98725901262,3330.0,"(2148, 528)",8626,0
MACS0417-CLU-NIRSPEC-TARGETS-V0,64.39920375,-11.90417500000001,JWST,59954.19670204097,2950.0,"(643, -120)",8564,0
UNKNOWN,53.00345157804316,-27.85652068921663,JWST,60595.69022342147,1990.5,"(530, -279)",8656,0
UDS_cat_visit1_EOSA,34.371536666666664,-5.197036111111117,JWST,60675.34970602824,2950.0,"(343, -52)",8667,0
UNKNOWN,359.19270328484265,-6.488019763564705,JWST,60491.15799112425,1550.0,"(3591, -65)",8641,0
UNKNOWN,177.46190252589437,22.29446179732773,JWST,60333.88845689647,1500.0,"(1774, 222)",8619,0
BLUEJAY-MASTER-SOUTH-NEW,150.10681499999998,2.2840444444444445,JWST,60670.52933971459,3330.0,"(1501, 22)",8667,0
UNKNOWN,150.6497673664806,2.085600040569705,JWST,59950.9833918268,1500.0,"(1506, 20)",8564,0
2MASS-05120103+0037335,78.00441642353506,0.6259223514230132,JWST,59868.48800445602,2121.5,"(780, 6)",8552,0
CWEBTILE-3-16,150.37481708333334,2.167222222222222,JWST,60316.06283481337,1147.5,"(1503, 21)",8616,0
Lenticular_Galaxy,189.99740375,-11.62265000000002,JWST,60465.74214184775,1990.5,"(1899, -117)",8637,0
EGSZ8P7-BUBBLE,214.96928041666663,52.89961111111111,JWST,60068.07323520307,1845.0,"(2149, 528)",8581,0
1808347,272.14476375,69.45798055555557,JWST,60131.80240168009,2950.0,"(2721, 694)",8590,0
M0416,64.05019333333334,-24.09331944444444,JWST,60326.53107067587,2992.0,"(640, -241)",8618,0
UNKNOWN,215.13427713305364,53.05336728628237,JWST,60120.1728425614,1500.0,"(2151, 530)",8588,0
UNKNOWN,328.44888414136415,17.594541563484555,JWST,60639.02633349537,2355.0,"(3284, 175)",8662,0
UNKNOWN,150.14734571378904,2.2738395472593256,JWST,60287.02267698953,1147.5,"(1501, 22)",8612,0
UNKNOWN,180.42640163909667,-18.808176192103804,JWST,60102.80627189624,1500.0,"(1804, -189)",8586,0
WIDE2027,150.15333416666667,2.2355027777777776,JWST,60315.90618662836,2950.0,"(1501, 22)",8616,0
A2744-Tile-2,3.570149583333333,-30.39676111111112,JWST,60252.14017748895,2992.0,"(35, -304)",8607,0
UNKNOWN,189.35395894118253,62.26548505893648,JWST,60417.12522418599,1147.5,"(1893, 622)",8631,0
NGC-3079,150.4911625,55.67984722222222,JWST,60651.58075392245,5600.0,"(1504, 556)",8664,0
UNKNOWN,150.08742811112026,2.4185185234173243,JWST,60083.31638064474,1500.0,"(1500, 24)",8583,0
MCS-J1149.5+2223,177.39128083333333,22.389444444444443,JWST,60290.15030448073,4800.0,"(1773, 223)",8612,0
21_3_23_mediumjwst_trim_ta5_v2,189.21356458333327,62.21797222222222,JWST,60092.12644136968,4005.0,"(1892, 622)",8584,0
3215_deepjwst_trim2test1clean1,53.14841625,-27.79495833333334,JWST,60237.12398941748,3357.5,"(531, -278)",8605,0
UNKNOWN,149.6228764211872,2.225023660557594,JWST,60057.60126871302,1500.0,"(1496, 22)",8579,0
CWEBTILE-0-4,150.06391916666666,2.5880583333333336,JWST,60081.08297382957,2771.5,"(1500, 25)",8583,0
P3-GO-2674-FINAL-CAT,189.21245,62.192816666666666,JWST,60020.60499236557,4433.0,"(1892, 621)",8574,0
UNKNOWN,150.24576177170394,1.9773664379277576,JWST,60066.24524388085,1500.0,"(1502, 19)",8580,0
UNKNOWN,3.479330480532769,-30.2560768717721,JWST,60655.8899717603,4433.0,"(34, -303)",8665,0
CHAMMS1-C2-FIELD,166.59016666666665,-77.39836666666667,JWST,59763.38281473235,1499.5,"(1665, -774)",8537,0
UNKNOWN,149.7025208867757,2.0591010868954167,JWST,60281.90352405522,1550.0,"(1497, 20)",8611,0
UNKNOWN,3.661227037713228,-30.54444454975245,JWST,60629.75735641609,4082.5,"(36, -306)",8661,0
NIRCAM-WFSS7,215.10719,52.95340555555556,JWST,59937.83777082118,3560.0,"(2151, 529)",8562,0
GOODS-N-CENTER-WEST,189.05416666666665,62.193125,JWST,60713.863375847744,2096.5,"(1890, 621)",8673,0
UNKNOWN,34.519662670203346,-3.847275927869613,JWST,60533.023281027024,1550.0,"(345, -39)",8647,0
UNKNOWN,20.594777460512866,-30.85232117489787,JWST,60629.37041608321,4433.0,"(205, -309)",8661,0
HD163466,268.1056980735923,60.3966636222908,JWST,60500.57816618403,7700.0,"(2681, 603)",8642,0
K9-2MASS-16071534+2917140,241.813644766517,29.28735620441427,JWST,59711.8020912125,4433.0,"(2418, 292)",8530,0
F115W_refs-isolated-pruned_MSA,9.115837916666669,39.592625000000005,JWST,60635.36449011968,2950.0,"(91, 395)",8662,0
F115W_refs-isolated-pruned-Gaia,9.115934166666667,39.59264166666667,JWST,60673.29187808982,2905.0,"(91, 395)",8667,0
UNKNOWN,265.7441280354567,67.08987312956256,JWST,60190.9027925173,1950.0,"(2657, 670)",8598,0
UNKNOWN,266.495869403091,-28.83719050194814,JWST,60425.66915949335,1990.5,"(2664, -289)",8632,0
WIDE2023,150.15695541666668,2.438952777777778,JWST,60280.56184174097,2950.0,"(1501, 24)",8611,0
GJ-341,140.39576748593598,-60.28078163883629,JWST,60005.888028502086,4433.0,"(1403, -603)",8572,0
GOODSS2013,53.14577875,-27.82405277777775,JWST,60229.99530987489,2950.0,"(531, -279)",8604,0
