intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-3-2,108.09334080660076,-39.51531491967101,image,"Ricker, George",3,59962.29582024305,59987.726135833334,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 117.930902 -36.060126 112.627908 -47.296656 97.282377 -41.77569 104.592259 -31.877518 117.930902 -36.060126,,,PUBLIC,False,,118311734,217892822
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-3-3,100.27809365897754,-50.215288552316345,image,"Ricker, George",3,59962.29469991898,59987.72501304398,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 87.516284 -51.450248 97.092104 -42.00359 112.482485 -47.554273 104.249093 -58.396518 87.516284 -51.450248,,,PUBLIC,False,,118311739,217893686
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-3-4,118.85262340843282,-55.13179266040814,image,"Ricker, George",3,59962.29442881944,59987.72529702546,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 104.529416 -58.458648 112.71573 -47.600604 130.855081 -50.647499 127.374631 -61.970663 104.529416 -58.458648,,,PUBLIC,False,,118311744,217893890
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-4-1,110.84651568017823,-66.35784965145132,image,"Ricker, George",3,59962.293346631945,59987.724207719904,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 127.175587 -62.251862 123.747776 -73.67277 89.389307 -68.247172 104.485141 -58.374628 127.175587 -62.251862,,,PUBLIC,False,,118311748,217894023
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0061-4-2,87.89941909787534,-59.70036381974582,image,"Ricker, George",3,59962.293623275466,59987.723929074076,158.399927,600.0,1000.0,,59999.0,N/A,,61,POLYGON 104.215609 -58.286553 89.078833 -68.129982 71.365553 -58.709918 87.204058 -51.562019 104.215609 -58.286553,,,PUBLIC,False,,118311749,217894159
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-1-1,119.92249816196613,45.020471259809625,image,"Ricker, George",3,58842.00446766,58868.31724625,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 130.67513200 48.53120000 125.59155800 37.65167700 110.23965300 40.44682500 113.01043200 52.19989300 130.67513200 48.53120000,,,PUBLIC,False,,27266910,70120107
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-1-2,102.46191345931295,46.91479727488035,image,"Ricker, George",3,58842.00475536,58868.31695626,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 112.73219900 52.22152600 110.01435800 40.46148000 93.87000600 41.06264200 93.32441800 52.54240900 112.73219900 52.22152600,,,PUBLIC,False,,27266911,70120108
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-1-3,101.64458792443914,34.91458576307677,image,"Ricker, George",3,58842.00512903,58868.3173308,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 94.61647600 29.34512900 93.87837900 40.81682500 109.96143000 40.20664100 108.07068800 28.39783100 94.61647600 29.34512900,,,PUBLIC,False,,27266912,70120109
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-1-4,116.33802062633681,33.31294400771689,image,"Ricker, George",3,58842.0048424,58868.31762203,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 108.26783700 28.37498000 110.18481400 40.17925000 125.48757000 37.40644400 121.40670100 26.44757300 108.26783700 28.37498000,,,PUBLIC,False,,27266913,70120110
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-2-1,136.99622868297755,67.03383608726266,image,"Ricker, George",3,58842.00312686,58868.31590359,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 158.10731100 67.36782100 141.11944300 58.73903100 117.87992400 63.99190200 129.72140100 75.21666500 158.10731100 67.36782100,,,PUBLIC,False,,27266914,70120111
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-2-2,104.04336105511598,70.78079097770797,image,"Ricker, George",3,58842.00340966,58868.3156086,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 129.12635400 75.30076900 117.48541900 64.05226000 89.15734800 64.38916400 80.86812500 75.54462200 129.12635400 75.30076900,,,PUBLIC,False,,27266915,70120112
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-2-3,103.14803099304689,58.74854778757523,image,"Ricker, George",3,58842.00422156,58868.31641919,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 93.18614000 52.81733700 89.28776500 64.12244500 117.33111000 63.77296200 112.60177800 52.13351100 93.18614000 52.81733700,,,PUBLIC,False,,27266916,70120113
science,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0020-2-4,125.58431780294454,56.2442180541019,image,"Ricker, George",3,58842.00393894,58868.31671404,1425.599406,600.0,1000.0,,58893.0,N/A,,20,POLYGON 112.86817700 52.10065300 117.72124000 63.73014200 140.81994700 58.52076500 130.67370700 48.70769300 112.86817700 52.10065300,,,PUBLIC,False,,27266917,70120114
